id,status,n_drones,coordinator,controller
1603,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1740,done,17,mpc_central,mpc_agent
1741,toBeDone,17,mpc_central,mpc_agent_adaptive
1742,done,17,dmpc_admm,mpc_agent
1743,toBeDone,17,dmpc_admm,mpc_agent_adaptive
1880,done,17,mpc_central,mpc_agent
1881,toBeDone,17,mpc_central,mpc_agent_adaptive
1882,done,17,dmpc_admm,mpc_agent
1883,toBeDone,17,dmpc_admm,mpc_agent_adaptive
2020,done,17,mpc_central,mpc_agent
2021,toBeDone,17,mpc_central,mpc_agent_adaptive
2022,done,17,dmpc_admm,mpc_agent
2023,toBeDone,17,dmpc_admm,mpc_agent_adaptive
2160,done,17,mpc_central,mpc_agent
2161,toBeDone,17,mpc_central,mpc_agent_adaptive
2162,done,17,dmpc_admm,mpc_agent
2163,toBeDone,17,dmpc_admm,mpc_agent_adaptive
2300,done,17,mpc_central,mpc_agent
2301,toBeDone,17,mpc_central,mpc_agent_adaptive
2302,done,17,dmpc_admm,mpc_agent
2303,toBeDone,17,dmpc_admm,mpc_agent_adaptive
2440,done,17,mpc_central,mpc_agent
2441,toBeDone,17,mpc_central,mpc_agent_adaptive
2442,done,17,dmpc_admm,mpc_agent
2443,toBeDone,17,dmpc_admm,mpc_agent_adaptive
2580,done,17,mpc_central,mpc_agent
2581,toBeDone,17,mpc_central,mpc_agent_adaptive
2582,done,17,dmpc_admm,mpc_agent
2583,toBeDone,17,dmpc_admm,mpc_agent_adaptive
2720,done,17,mpc_central,mpc_agent
2721,toBeDone,17,mpc_central,mpc_agent_adaptive
2722,done,17,dmpc_admm,mpc_agent
2723,toBeDone,17,dmpc_admm,mpc_agent_adaptive
64,done,18,mpc_central,mpc_agent
65,toBeDone,18,mpc_central,mpc_agent_adaptive
66,done,18,dmpc_admm,mpc_agent
67,toBeDone,18,dmpc_admm,mpc_agent_adaptive
204,done,18,mpc_central,mpc_agent
205,toBeDone,18,mpc_central,mpc_agent_adaptive
206,done,18,dmpc_admm,mpc_agent
207,toBeDone,18,dmpc_admm,mpc_agent_adaptive
344,done,18,mpc_central,mpc_agent
345,toBeDone,18,mpc_central,mpc_agent_adaptive
346,done,18,dmpc_admm,mpc_agent
347,toBeDone,18,dmpc_admm,mpc_agent_adaptive
484,done,18,mpc_central,mpc_agent
485,toBeDone,18,mpc_central,mpc_agent_adaptive
486,done,18,dmpc_admm,mpc_agent
487,toBeDone,18,dmpc_admm,mpc_agent_adaptive
624,done,18,mpc_central,mpc_agent
625,toBeDone,18,mpc_central,mpc_agent_adaptive
626,done,18,dmpc_admm,mpc_agent
627,toBeDone,18,dmpc_admm,mpc_agent_adaptive
764,done,18,mpc_central,mpc_agent
765,toBeDone,18,mpc_central,mpc_agent_adaptive
766,done,18,dmpc_admm,mpc_agent
767,toBeDone,18,dmpc_admm,mpc_agent_adaptive
904,done,18,mpc_central,mpc_agent
905,toBeDone,18,mpc_central,mpc_agent_adaptive
906,done,18,dmpc_admm,mpc_agent
907,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1044,done,18,mpc_central,mpc_agent
1045,toBeDone,18,mpc_central,mpc_agent_adaptive
1046,done,18,dmpc_admm,mpc_agent
1047,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1184,done,18,mpc_central,mpc_agent
1185,toBeDone,18,mpc_central,mpc_agent_adaptive
1186,done,18,dmpc_admm,mpc_agent
1187,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1324,done,18,mpc_central,mpc_agent
1325,toBeDone,18,mpc_central,mpc_agent_adaptive
1326,done,18,dmpc_admm,mpc_agent
1327,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1464,done,18,mpc_central,mpc_agent
1465,toBeDone,18,mpc_central,mpc_agent_adaptive
1466,done,18,dmpc_admm,mpc_agent
1467,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1604,done,18,mpc_central,mpc_agent
1605,toBeDone,18,mpc_central,mpc_agent_adaptive
1606,done,18,dmpc_admm,mpc_agent
1607,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1744,done,18,mpc_central,mpc_agent
1745,toBeDone,18,mpc_central,mpc_agent_adaptive
1746,done,18,dmpc_admm,mpc_agent
1747,toBeDone,18,dmpc_admm,mpc_agent_adaptive
1884,done,18,mpc_central,mpc_agent
1885,toBeDone,18,mpc_central,mpc_agent_adaptive
1886,done,18,dmpc_admm,mpc_agent
1887,toBeDone,18,dmpc_admm,mpc_agent_adaptive
2024,done,18,mpc_central,mpc_agent
2025,toBeDone,18,mpc_central,mpc_agent_adaptive
2026,done,18,dmpc_admm,mpc_agent
2027,toBeDone,18,dmpc_admm,mpc_agent_adaptive
2164,done,18,mpc_central,mpc_agent
2165,toBeDone,18,mpc_central,mpc_agent_adaptive
2166,done,18,dmpc_admm,mpc_agent
2167,toBeDone,18,dmpc_admm,mpc_agent_adaptive
2304,done,18,mpc_central,mpc_agent
2305,toBeDone,18,mpc_central,mpc_agent_adaptive
2306,done,18,dmpc_admm,mpc_agent
2307,toBeDone,18,dmpc_admm,mpc_agent_adaptive
2444,done,18,mpc_central,mpc_agent
2445,toBeDone,18,mpc_central,mpc_agent_adaptive
2446,done,18,dmpc_admm,mpc_agent
2447,toBeDone,18,dmpc_admm,mpc_agent_adaptive
2584,done,18,mpc_central,mpc_agent
2585,toBeDone,18,mpc_central,mpc_agent_adaptive
2586,done,18,dmpc_admm,mpc_agent
2587,toBeDone,18,dmpc_admm,mpc_agent_adaptive
2724,done,18,mpc_central,mpc_agent
2725,toBeDone,18,mpc_central,mpc_agent_adaptive
